Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,max_iter,penalty,solver,best_train_ACURACIA,best_train_F1,best_train_Fbeta_2,best_train_PRECISAO,best_train_REVOCACAO,best_train_ROC_AUC,test_ACURACIA,test_F1,test_Fbeta_2,test_PRECISAO,test_REVOCACAO,test_ROC_AUC
2024-08-27 09:05:27,11.6s,6baa10e2f2a74f7bad38aefb2f12b722,LogisticRegression_ROC_AUC,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,100,200,l2,lbfgs,,,,,,0.9715036574250856,0.8699059561128527,0.8787897735691766,0.8715298898776042,0.9003239024871167,0.8699059561128527,0.9597933171606465
2024-08-27 09:05:16,11.1s,5dcd659502bf488dbd21a5475b554367,LogisticRegression_Fbeta_2,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,10,100,l2,newton-cg,,,0.8868253021699829,,,,0.8620689655172413,0.8721783658267451,0.8637438950638413,0.89775735806291,0.8620689655172413,0.960416199946004
2024-08-27 09:05:05,11.0s,4661c77a05464220898764e6bcf71e3a,LogisticRegression_F1,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,10,100,l2,newton-cg,,0.887521247896836,,,,,0.8620689655172413,0.8721783658267451,0.8637438950638413,0.89775735806291,0.8620689655172413,0.960416199946004
2024-08-27 09:04:54,11.2s,77051b804b4d4cd2adffea95bf8978f4,LogisticRegression_REVOCACAO,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,10,100,l2,newton-cg,,,,,0.8868861772552119,,0.8620689655172413,0.8721783658267451,0.8637438950638413,0.89775735806291,0.8620689655172413,0.960416199946004
2024-08-27 09:04:43,11.2s,cf53b35170fb474aa653fb5617c427d4,LogisticRegression_PRECISAO,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,10,100,l2,newton-cg,,,,0.8908527487247415,,,0.8620689655172413,0.8721783658267451,0.8637438950638413,0.89775735806291,0.8620689655172413,0.960416199946004
2024-08-27 09:04:31,11.2s,16fe82325d3046d68a5f07bb5271247a,LogisticRegression_ACURACIA,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,10,100,l2,newton-cg,0.8868861772552119,,,,,,0.8620689655172413,0.8721783658267451,0.8637438950638413,0.89775735806291,0.8620689655172413,0.960416199946004
