Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,max_iter,penalty,solver,best_train_ACURACIA,best_train_F1,best_train_Fbeta_2,best_train_PRECISAO,best_train_REVOCACAO,best_train_ROC_AUC,test_ACURACIA,test_F1,test_Fbeta_2,test_PRECISAO,test_REVOCACAO,test_ROC_AUC
2024-08-22 15:29:55,7.7s,ff1bfc5b649b4341b374705e6bbe0408,LogisticRegression_ROC_AUC,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,10,200,l1,saga,,,,,,0.9632427791555453,0.8981191222570533,0.8962870033608028,0.8972351029409372,0.8958467740757781,0.8981191222570533,0.9667584768221948
2024-08-22 15:29:48,7.0s,8d4d599a81f2440b85986f9021933f24,LogisticRegression_Fbeta_2,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,1,100,l2,lbfgs,,,0.8930395203910727,,,,0.8918495297805643,0.8881668731136437,0.8899580969338242,0.8886577498308944,0.8918495297805643,0.9587388678962504
2024-08-22 15:29:40,7.2s,03f48a2eb6c9410d9882da12c807c5dc,LogisticRegression_F1,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,10,100,l1,saga,,0.8909814170976766,,,,,0.896551724137931,0.8949289290743465,0.895761225647172,0.8946152417840139,0.896551724137931,0.9664594720664745
2024-08-22 15:29:34,7.0s,ade33ac9524a4e16b9b9bc5f6482202d,LogisticRegression_REVOCACAO,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,1,100,l2,lbfgs,,,,,0.8958280428079085,,0.8918495297805643,0.8881668731136437,0.8899580969338242,0.8886577498308944,0.8918495297805643,0.9587388678962504
2024-08-22 15:29:26,7.4s,c74b3c2b63684e2baec126a98f4c2bbf,LogisticRegression_PRECISAO,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,10,100,l1,saga,,,,0.8935893804672016,,,0.896551724137931,0.8949289290743465,0.895761225647172,0.8946152417840139,0.896551724137931,0.9664730591861853
2024-08-22 15:29:19,6.9s,2468f1c5b10147eabbceccfe1fa2d533,LogisticRegression_ACURACIA,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,1,100,l2,lbfgs,0.8958280428079085,,,,,,0.8918495297805643,0.8881668731136437,0.8899580969338242,0.8886577498308944,0.8918495297805643,0.9587388678962504
