Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,activation,alpha,hidden_layer_sizes,learning_rate,solver,best_train_ACURACIA,best_train_F1,best_train_Fbeta_2,best_train_PRECISAO,best_train_REVOCACAO,best_train_ROC_AUC,test_ACURACIA,test_F1,test_Fbeta_2,test_PRECISAO,test_REVOCACAO,test_ROC_AUC
2024-08-22 15:27:31,30.1s,f3709395405e4136802a1b049ca63da1,MLP_ROC_AUC,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,relu,0.0001,"(100,)",adaptive,adam,,,,,,0.9760467288514905,0.9059561128526645,0.9071143827374453,0.9061796214412391,0.9105116102851394,0.9059561128526645,0.9697373263472757
2024-08-22 15:27:01,30.6s,4222effa5db44befb2b89364fb6d6b95,MLP_Fbeta_2,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,relu,0.0001,"(50, 50)",constant,adam,,,0.9164715462886315,,,,0.9216300940438872,0.9190114599380265,0.9202170864297556,0.919790387969166,0.9216300940438872,0.9706273854974288
2024-08-22 15:26:30,30.5s,4508f1d3d6764e58a8b2f460b96a3d73,MLP_F1,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,relu,0.0001,"(50, 50)",adaptive,adam,,0.9204122562450436,,,,,0.9153605015673981,0.9118436858057494,0.9135096074832054,0.9124685075685717,0.9153605015673981,0.9747512183041185
2024-08-22 15:26:00,30.3s,8cea3c254ef04815841c2e9a890f6037,MLP_REVOCACAO,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,relu,0.0001,"(50, 50)",constant,adam,,,,,0.9173317612914926,,0.9075235109717869,0.907694670121566,0.9073105608989035,0.9106702273976423,0.9075235109717869,0.9700119702426739
2024-08-22 15:25:31,29.0s,5bff9adb99fd4b14b47fbb889749f3e7,MLP_PRECISAO,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,relu,0.05,"(50, 50)",adaptive,adam,,,,0.9165410126339534,,,0.9059561128526645,0.906334850654586,0.9058598935829885,0.9091173769716909,0.9059561128526645,0.9734467275244302
2024-08-22 15:25:02,29.0s,d623f0bcd06443398f7fab7aa3accce2,MLP_ACURACIA,LOCAL,/usr/local/lib/python3.10/dist-packages/colab_kernel_launcher.py,root,FINISHED,relu,0.05,"(50, 50)",adaptive,adam,0.919336114638128,,,,,,0.9122257053291536,0.9121227901341209,0.9119500388312737,0.914324487244614,0.9122257053291536,0.9747220629497165
